account,sales_agent,product,lead_score
Domzoom,23,GTX Basic,98.0
Ganjaflex,24,GTX Plus Pro,
unknow,25,GTXPro,
Kan-code,25,MG Advanced,
Condax,26,GTX Basic,1.0
Zumgoity,26,GTXPro,
Zotware,27,GTX Plus Pro,
Iselectrics,29,GTX Basic,
Isdom,2,MG Special,3.0
Treequote,2,GTX Plus Pro,99.0
Faxquote,4,GTXPro,
Blackzim,6,MG Special,
Xx-holding,7,GTXPro,
Condax,9,GTX Basic,5.0
Green-Plus,9,GTXPro,
Globex Corporation,10,GTX Plus Basic,98.0
Finhigh,13,GTX Plus Pro,
Statholdings,13,GTX Basic,
Domzoom,14,GTX Plus Pro,
Iselectrics,15,MG Advanced,
Vehement Capital Partners,15,GTXPro,
Rangreen,18,MG Advanced,
Ron-tech,18,MG Advanced,
Rantouch,19,MG Advanced,
Rantouch,19,MG Advanced,
unknow,20,GTXPro,
Genco Pura Olive Oil Company,0,GTX Basic,
Kan-code,12,GTX Basic,
Hottechi,23,GTX Basic,
Genco Pura Olive Oil Company,23,MG Special,
Massive Dynamic,25,GTXPro,
Condax,26,GTXPro,
Stanredtax,26,GTXPro,
Streethex,26,GTXPro,
Toughzap,26,MG Special,
Iselectrics,27,GTXPro,
Kan-code,28,MG Advanced,
Konmatfix,2,GTX Plus Basic,
Konmatfix,2,MG Special,7.000000000000001
Conecom,2,MG Advanced,
Konex,3,MG Advanced,
Plexzap,4,GTXPro,
Xx-holding,4,GTX Basic,98.0
Finhigh,5,GTX Plus Basic,
Dontechi,5,MG Advanced,
Ron-tech,5,GTX Basic,
J-Texon,7,GTX Basic,
Singletechno,7,GTX Plus Basic,99.0
Nam-zim,7,GTXPro,
Finhigh,8,GTX Basic,
Goodsilron,9,GTX Plus Pro,
Betatech,13,GTX Plus Pro,
Isdom,13,GTX Basic,
unknow,17,MG Advanced,
Dontechi,18,GTX Basic,
Blackzim,19,GTX Plus Basic,
Scotfind,19,GTXPro,
Faxquote,19,MG Advanced,99.0
Nam-zim,20,MG Advanced,
Gekko & Co,20,MG Special,100.0
Betatech,0,GTX Plus Basic,
Iselectrics,12,MG Advanced,
unknow,24,GTX Plus Basic,
Statholdings,26,GTXPro,
Warephase,26,GTXPro,100.0
Globex Corporation,26,MG Special,88.0
Kan-code,29,GTX Plus Basic,100.0
Mathtouch,29,MG Special,
Xx-zobam,29,MG Special,
Isdom,2,GTX Plus Basic,
Ron-tech,5,GTX Plus Basic,
Rantouch,6,GTX Plus Basic,
Kan-code,6,MG Advanced,100.0
unknow,7,GTX Basic,
Sonron,7,GTX Basic,
Scottech,8,MG Special,
Streethex,8,MG Advanced,
unknow,9,GTXPro,
Hottechi,9,GTX Basic,3.0
Condax,9,MG Special,
Singletechno,9,MG Special,
Dalttechnology,11,GTXPro,
Rundofase,13,MG Advanced,100.0
Konmatfix,14,GTXPro,
Treequote,14,GTX Basic,
Plussunin,15,GTXPro,
Sonron,16,GTXPro,
Groovestreet,16,MG Special,
Konmatfix,18,GTX Basic,73.0
unknow,19,MG Advanced,
Finjob,19,MG Special,
Newex,19,GTXPro,99.0
Plexzap,19,MG Advanced,
Mathtouch,20,GTXPro,
Kinnamplus,20,MG Advanced,
Kinnamplus,21,MG Advanced,
Goodsilron,22,GTX Basic,93.0
Betatech,0,GTX Basic,
unknow,1,GTX Plus Basic,
Yearin,1,GTX Plus Basic,96.0
Initech,12,GTX Plus Pro,
Betasoloin,12,MG Advanced,
Genco Pura Olive Oil Company,23,MG Advanced,
Silis,24,GTX Basic,
Plussunin,25,GTX Plus Basic,
Iselectrics,25,GTX Plus Basic,
Warephase,26,GTX Basic,
Conecom,26,GTXPro,
Labdrill,28,MG Special,
Statholdings,2,MG Special,
unknow,4,GTX Plus Basic,
Y-corporation,4,GTXPro,
Warephase,5,GTX Basic,
Doncon,9,MG Special,
Konmatfix,10,MG Advanced,
Cheers,11,GTX Plus Pro,100.0
Condax,13,GTX Basic,0.0
Dontechi,14,GTXPro,
Condax,15,GTX Plus Pro,
Massive Dynamic,15,GTX Plus Pro,
Bluth Company,15,MG Special,
Zencorporation,15,MG Advanced,
Nam-zim,16,MG Special,
Donquadtech,17,MG Advanced,
dambase,18,MG Special,
Dontechi,18,MG Special,
Y-corporation,19,GTX Basic,
Acme Corporation,20,GTX Basic,
Streethex,1,GTX Plus Basic,
Acme Corporation,1,GTX Plus Basic,
Globex Corporation,23,GTX Plus Pro,
unknow,24,GTX Plus Pro,
unknow,24,MG Advanced,
Statholdings,26,GTX Plus Basic,98.0
Rangreen,26,GTXPro,
Condax,27,GTX Basic,100.0
Dalttechnology,28,GTX Plus Pro,3.0
Betasoloin,29,MG Special,
Isdom,2,MG Advanced,100.0
unknow,3,GTX Plus Basic,
Hottechi,5,GTX Basic,4.0
Toughzap,5,MG Special,
Scottech,5,GTX Basic,100.0
Codehow,5,GTX Plus Basic,
Dalttechnology,7,GTXPro,13.0
Dalttechnology,7,GTX Basic,
Isdom,8,MG Advanced,
Sonron,9,MG Special,
Hottechi,9,MG Advanced,1.0
J-Texon,9,GTX Basic,100.0
Doncon,9,GTXPro,99.0
Green-Plus,9,MG Special,
Konex,9,MG Advanced,
Stanredtax,10,GTX Plus Pro,
Domzoom,10,MG Advanced,
Fasehatice,11,GTX Plus Basic,0.0
Goodsilron,11,GTX Plus Pro,
Lexiqvolax,11,GTXPro,
Toughzap,14,GTX Plus Basic,
Warephase,14,MG Special,
Mathtouch,15,GTXPro,6.0
Kan-code,15,GTXPro,
unknow,17,MG Advanced,
Stanredtax,18,MG Advanced,
unknow,19,GTX Basic,0.0
Kan-code,19,GTX Basic,
Umbrella Corporation,20,MG Special,
Betasoloin,21,GTX Plus Pro,
Bioholding,0,GTX Plus Basic,
Stanredtax,0,MG Advanced,
Statholdings,0,GTX Plus Basic,
unknow,1,GTXPro,
Vehement Capital Partners,1,GTX Plus Pro,
Bioplex,12,GTX Basic,
Zathunicon,12,GTX Plus Pro,
Rundofase,23,GTX Basic,
unknow,24,GTXPro,
Ontomedia,24,GTXPro,100.0
Condax,25,GTX Plus Basic,
Bluth Company,25,GTX Plus Pro,
Finhigh,26,GTX Plus Pro,
unknow,28,MG Special,0.0
Condax,28,MG Advanced,
Stanredtax,2,GTX Plus Pro,4.0
Codehow,2,MG Advanced,
Hatfan,4,GTX Plus Pro,
unknow,6,GTXPro,
Rantouch,6,GTX Basic,
Plexzap,6,GTX Basic,
Betasoloin,7,GTX Plus Basic,
Ron-tech,8,GTX Basic,
Konex,9,GTX Basic,
Funholding,14,GTX Plus Basic,
Fasehatice,19,MG Advanced,
Lexiqvolax,19,MG Advanced,
Yearin,20,MG Special,
Sunnamplex,22,MG Advanced,
Doncon,22,GTXPro,100.0
Massive Dynamic,1,GTXPro,
Condax,23,MG Special,95.0
Warephase,23,MG Special,
Inity,26,GTXPro,
Gogozoom,26,MG Advanced,
Initech,27,GTX Basic,
Plussunin,27,GTX Plus Pro,1.0
Kan-code,27,GTX Basic,98.0
Konex,27,GTX Plus Pro,
Rantouch,4,GTX Plus Pro,
Singletechno,4,GTX Plus Pro,
Sunnamplex,4,GTX Plus Pro,
Lexiqvolax,4,GTX Plus Pro,99.0
Hottechi,5,MG Advanced,
Y-corporation,6,GTX Plus Basic,
Hatfan,6,MG Special,
unknow,7,GTX Basic,
Cheers,7,GTX Plus Basic,
Singletechno,7,GTX Plus Basic,99.0
Y-corporation,7,GTXPro,100.0
Bioholding,8,MG Advanced,
Dontechi,8,MG Advanced,99.0
Funholding,10,GTX Plus Basic,
Y-corporation,11,MG Advanced,
Conecom,13,GTX Basic,
Toughzap,18,GTX Basic,
Lexiqvolax,19,GTX Basic,97.0
Donware,20,MG Special,
Betasoloin,21,MG Advanced,
Donquadtech,21,MG Advanced,
Y-corporation,22,MG Special,
Cancity,0,GTX Plus Pro,
Dontechi,0,MG Special,
Scottech,12,GTX Plus Pro,
Opentech,12,GTX Basic,
Inity,26,GTX Plus Basic,
Ron-tech,26,GTX Plus Basic,100.0
Rundofase,26,GTXPro,
Mathtouch,27,GTX Basic,
Plussunin,27,GTX Basic,3.0
Betasoloin,27,GTX Basic,
Bubba Gump,27,GTXPro,
Inity,2,MG Special,
Goodsilron,6,GTXPro,2.0
unknow,7,MG Advanced,
Dalttechnology,7,GTX Basic,0.0
Green-Plus,7,GTX Plus Basic,
Plexzap,9,GTX Basic,2.0
unknow,11,MG Special,0.0
Hottechi,13,MG Special,
Domzoom,13,GTX Basic,
Ron-tech,13,GTX Plus Basic,
Zumgoity,13,MG Special,
Treequote,14,GTX Basic,
Scottech,18,MG Special,
Cancity,18,MG Special,
Kan-code,19,MG Advanced,
Plusstrip,19,GTX Plus Pro,
Ganjaflex,21,GTX Plus Pro,
Rantouch,22,GTXPro,
Plexzap,22,MG Special,
Domzoom,0,GTX Basic,
unknow,12,GTX Basic,
Iselectrics,12,GTX Plus Basic,
Zathunicon,12,GTX Plus Pro,
Betasoloin,12,GTX Plus Basic,
The New York Inquirer,12,MG Advanced,
Bluth Company,24,GTX Plus Pro,2.0
Plussunin,25,GTX Plus Basic,
Hottechi,26,GTXPro,
Kinnamplus,27,GTX Basic,1.0
Xx-zobam,27,GTXPro,
Umbrella Corporation,27,GTXPro,
Vehement Capital Partners,29,GTX Plus Basic,
Hottechi,4,GTXPro,99.0
Dontechi,5,MG Advanced,
Globex Corporation,5,GTXPro,
unknow,6,GTX Basic,0.0
Konex,6,GTX Plus Basic,97.0
Dalttechnology,7,GTX Plus Pro,
Sunnamplex,7,GTX Basic,
Zoomit,7,GTX Plus Basic,
dambase,8,GTX Basic,
Groovestreet,9,MG Special,
Globex Corporation,10,MG Advanced,
Codehow,10,MG Advanced,
Zoomit,11,GTX Plus Pro,
Plusstrip,16,MG Special,
Kinnamplus,17,MG Advanced,
Kan-code,17,MG Special,
Codehow,18,MG Special,
Hottechi,19,GTX Basic,
Cheers,22,GTXPro,
Y-corporation,22,GTX Basic,
Treequote,0,GTX Plus Pro,
Donware,12,GTX Plus Pro,
Plussunin,12,GTX Plus Pro,
Inity,23,GTX Basic,
Isdom,23,GTX Plus Pro,
unknow,24,GTX Plus Basic,0.0
Vehement Capital Partners,24,GTXPro,5.0
unknow,25,MG Advanced,
Massive Dynamic,25,GTX Plus Pro,
Xx-zobam,25,GTXPro,
Streethex,26,GTXPro,
Treequote,26,GTXPro,
Zotware,27,MG Advanced,
Condax,29,GTXPro,
Sonron,3,MG Advanced,
Green-Plus,6,GTX Basic,
Kan-code,7,GTXPro,
Kan-code,7,GTXPro,100.0
Condax,10,GTX Basic,
Funholding,10,GTX Plus Pro,
unknow,11,GTXPro,
Labdrill,11,MG Advanced,100.0
Toughzap,13,MG Special,
Stanredtax,13,MG Advanced,
Labdrill,16,GTX Basic,0.0
Faxquote,19,GTX Basic,
Ontomedia,20,MG Special,
Goodsilron,22,GTX Plus Basic,
J-Texon,22,GTX Basic,
Inity,0,GTX Basic,
Rangreen,0,MG Special,
unknow,1,GTXPro,0.0
Betasoloin,1,GTX Basic,99.0
Umbrella Corporation,12,GTX Plus Basic,10.0
Opentech,12,MG Special,
Statholdings,23,MG Special,
Isdom,23,GTX Basic,
Codehow,23,GTX Plus Pro,
Silis,24,GTX Basic,
Kan-code,24,GTX Plus Pro,
Bluth Company,25,GTX Plus Basic,
Acme Corporation,25,GTXPro,
Ontomedia,27,GTX Basic,
Hatfan,28,MG Advanced,
Dontechi,5,MG Special,
Xx-holding,6,MG Advanced,2.0
Conecom,7,GTX Plus Pro,3.166666666666666
Konex,7,GTX Basic,
Finjob,7,GTX Basic,
Kan-code,7,GTX Basic,
Hottechi,8,MG Special,
Scotfind,9,GTXPro,
Inity,10,GTX Plus Basic,
Scottech,13,GTX Basic,
Betatech,14,GTX Plus Basic,
Xx-zobam,15,GTX Plus Basic,0.0
Xx-holding,16,MG Special,
unknow,17,GTX Plus Pro,0.0
Golddex,19,MG Advanced,
Green-Plus,19,GTX Plus Pro,
unknow,20,MG Special,
Kinnamplus,20,GTX Basic,
Xx-zobam,20,MG Advanced,
Gogozoom,0,MG Special,
Finhigh,1,GTX Basic,13.91666666666667
Donware,12,GTX Plus Basic,
Konex,12,GTX Plus Basic,100.0
Acme Corporation,24,GTX Basic,
Plussunin,24,MG Advanced,
Umbrella Corporation,24,GTXPro,
Betatech,26,MG Special,
Kinnamplus,27,GTX Plus Basic,
Yearin,27,GTX Plus Basic,97.0
Konex,27,MG Special,
Groovestreet,28,GTXPro,
Kinnamplus,29,GTX Basic,
unknow,4,GTX Basic,
Zoomit,4,GTX Basic,
Kan-code,4,GTX Plus Pro,100.0
Scottech,5,GTX Basic,
Warephase,5,GTX Basic,
Y-corporation,7,MG Advanced,1.0
Green-Plus,7,GTX Plus Basic,
Groovestreet,9,GTX Basic,
Finjob,11,GTXPro,
Umbrella Corporation,15,GTXPro,1.0
Kan-code,15,GTXPro,
Y-corporation,16,MG Special,
Xx-zobam,17,MG Advanced,
Hottechi,19,MG Advanced,100.0
unknow,20,GTX Plus Basic,0.0
Plussunin,20,MG Special,
Mathtouch,20,MG Advanced,
Finjob,22,GTX Basic,
Green-Plus,22,GTX Plus Basic,1.0
Doncon,22,GTX Plus Pro,
Rantouch,22,GTX Plus Pro,1.0
Hatfan,22,GTXPro,
Kan-code,22,GTX Plus Pro,
Genco Pura Olive Oil Company,0,GTX Basic,
Zathunicon,1,GTX Basic,
unknow,12,GTX Plus Pro,
Silis,12,MG Advanced,
Gekko & Co,24,GTX Basic,
Zathunicon,24,GTX Plus Basic,
Umbrella Corporation,24,GTX Plus Pro,100.0
Betatech,25,GTXPro,
Rundofase,26,GTX Basic,
Donware,27,GTX Plus Basic,
Gekko & Co,27,GTX Plus Basic,
Yearin,27,GTX Plus Pro,
unknow,28,GTX Plus Basic,
Dontechi,2,GTX Basic,
Stanredtax,2,GTX Plus Basic,
Funholding,2,GTXPro,
Cancity,5,MG Special,
Sonron,6,GTX Basic,
Inity,8,GTX Plus Basic,
Conecom,10,MG Special,
Ron-tech,13,MG Advanced,
Warephase,13,GTX Plus Pro,100.0
Rangreen,14,GTX Plus Pro,
Betatech,14,GTX Plus Pro,99.0
Gekko & Co,15,MG Advanced,
Statholdings,16,GTXPro,
unknow,16,MG Advanced,
Green-Plus,19,MG Advanced,
unknow,22,GTXPro,
Domzoom,0,GTX Plus Basic,
Silis,1,GTX Plus Basic,
Zencorporation,12,MG Advanced,2.0
Gogozoom,23,GTX Basic,
Cancity,26,GTX Plus Basic,0.0
Streethex,26,MG Special,
Domzoom,26,MG Advanced,
Globex Corporation,2,GTXPro,
Warephase,2,GTXPro,
Isdom,2,MG Advanced,
Condax,3,MG Special,
Labdrill,4,MG Advanced,
Labdrill,6,GTX Plus Basic,
Golddex,6,GTXPro,
Hatfan,6,GTX Plus Pro,
Dalttechnology,6,MG Special,
Sunnamplex,7,GTX Plus Pro,
Nam-zim,7,GTXPro,
Hatfan,9,GTX Plus Pro,
Rangreen,10,MG Advanced,
Cancity,13,MG Special,
Isdom,13,GTX Basic,100.0
Zencorporation,15,GTX Plus Basic,
Yearin,15,MG Special,93.0
unknow,17,GTXPro,
Singletechno,19,GTXPro,100.0
unknow,20,GTX Basic,
Plexzap,22,GTX Plus Pro,
Konex,1,MG Advanced,
unknow,12,GTX Plus Pro,
Scottech,23,GTX Basic,
Treequote,23,GTX Plus Basic,
Silis,24,MG Advanced,3.0
Silis,25,GTXPro,
Initech,25,GTX Plus Pro,99.0
Bioholding,26,GTX Basic,1.0
Codehow,26,GTXPro,0.0
Stanredtax,26,GTXPro,
Genco Pura Olive Oil Company,2,MG Advanced,100.0
Xx-holding,3,MG Special,
Finjob,3,MG Advanced,
Golddex,4,GTX Plus Pro,
Goodsilron,4,MG Special,
Treequote,5,GTX Basic,
Konmatfix,5,GTX Plus Basic,
Singletechno,6,GTX Plus Basic,
unknow,7,GTX Plus Pro,
Doncon,7,GTX Basic,
Hottechi,7,GTX Basic,
Sunnamplex,9,GTX Basic,97.0
Dalttechnology,11,GTXPro,
Zoomit,11,GTX Plus Basic,
Konex,15,GTX Plus Basic,
Cheers,16,GTK 500,
Dalttechnology,16,MG Special,
Zoomit,16,MG Special,
Nam-zim,19,GTX Basic,
Cheers,19,MG Advanced,
Sonron,19,MG Advanced,
Bioholding,0,GTX Plus Basic,
Plussunin,1,GTX Plus Basic,
Donquadtech,12,MG Advanced,
unknow,24,MG Special,
Dontechi,25,GTX Basic,
Bioholding,26,GTXPro,0.0
Betatech,26,MG Advanced,
Ontomedia,27,GTX Plus Basic,1.0
Massive Dynamic,27,GTX Plus Pro,
Condax,2,GTXPro,
Cheers,3,MG Advanced,4.0
Sunnamplex,3,MG Advanced,
Y-corporation,3,MG Advanced,
Singletechno,4,GTX Plus Basic,
Finjob,11,GTX Plus Basic,100.0
Y-corporation,11,MG Advanced,
Codehow,13,GTX Plus Pro,
Streethex,14,GTX Plus Basic,
Silis,15,GTXPro,1.0
Silis,15,GTX Plus Pro,
unknow,22,GTX Basic,
Kan-code,1,MG Advanced,
Treequote,26,GTXPro,
Bioholding,26,GTXPro,
Sonron,28,MG Special,
Faxquote,28,GTXPro,
Mathtouch,29,MG Advanced,
Hottechi,3,MG Advanced,
Nam-zim,7,GTX Plus Basic,
Inity,8,GTX Basic,100.0
Konex,9,GTX Plus Basic,
Codehow,14,GTX Basic,95.0
Gogozoom,14,GTX Basic,
Ron-tech,14,GTX Basic,
Scottech,14,GTX Plus Basic,
Bioplex,15,GTX Basic,0.0
Plussunin,15,GTX Plus Basic,
Bubba Gump,15,GTXPro,
unknow,17,MG Special,
Kan-code,19,MG Advanced,
Lexiqvolax,22,GTX Plus Basic,1.0
Treequote,0,MG Special,
Plussunin,1,MG Advanced,
Mathtouch,1,GTXPro,
Zathunicon,12,GTX Plus Basic,
Iselectrics,12,GTX Plus Pro,
Inity,23,GTX Plus Pro,
Donware,24,GTX Basic,
Konex,24,GTX Plus Pro,
Streethex,26,GTX Plus Pro,0.0
Statholdings,26,GTX Plus Basic,
Konex,27,GTX Basic,
Xx-holding,28,MG Advanced,
Xx-holding,3,MG Advanced,
Green-Plus,4,GTXPro,
Goodsilron,4,GTX Plus Pro,100.0
unknow,6,GTX Basic,
Hatfan,6,GTX Basic,
Blackzim,7,GTX Plus Basic,
Plusstrip,7,GTX Basic,
Groovestreet,7,GTXPro,
Genco Pura Olive Oil Company,8,GTX Basic,
Warephase,8,MG Advanced,
Xx-holding,9,MG Special,
Plusstrip,9,MG Advanced,
Ron-tech,14,MG Advanced,
Zathunicon,15,GTX Plus Basic,100.0
Gekko & Co,17,MG Special,
Globex Corporation,18,MG Special,
unknow,19,MG Special,
Goodsilron,19,GTX Basic,98.0
Iselectrics,20,MG Special,80.0
Finjob,22,MG Special,
Donware,25,GTX Plus Pro,
Stanredtax,26,GTX Plus Pro,
dambase,26,MG Advanced,
Condax,27,MG Advanced,
Dalttechnology,28,MG Advanced,3.0
Fasehatice,3,GTX Plus Basic,
Golddex,4,GTX Plus Basic,
Rundofase,5,MG Special,
Labdrill,7,GTX Plus Pro,
Gogozoom,8,MG Special,
Faxquote,9,MG Advanced,
Cheers,9,MG Advanced,
unknow,11,GTX Plus Basic,
Cancity,14,MG Advanced,
Yearin,15,GTX Plus Pro,
Ganjaflex,15,GTX Basic,
unknow,16,MG Special,
Lexiqvolax,16,GTX Basic,
Nam-zim,19,GTX Basic,
Konex,19,MG Special,
Newex,19,MG Special,
Condax,20,MG Special,
Silis,21,MG Advanced,
Rundofase,0,GTX Basic,
Funholding,0,MG Advanced,
Rangreen,0,MG Special,93.0
Sunnamplex,1,GTX Basic,
Acme Corporation,12,GTXPro,
Conecom,23,GTX Plus Pro,
Konmatfix,23,MG Special,
Isdom,23,MG Advanced,
Rundofase,26,GTX Basic,
Betatech,26,GTX Plus Basic,
Betatech,26,GTXPro,
Isdom,26,MG Advanced,100.0
Kan-code,27,MG Advanced,
Hottechi,28,GTX Basic,
unknow,3,GTX Plus Pro,
Isdom,5,GTX Basic,1.0
Genco Pura Olive Oil Company,5,MG Advanced,1.0
Scotfind,6,GTXPro,
Labdrill,6,MG Advanced,
Singletechno,6,GTX Plus Basic,
Zoomit,6,GTX Plus Basic,
Plusstrip,7,GTX Plus Pro,
Labdrill,7,GTX Plus Pro,
Y-corporation,7,GTXPro,
Rangreen,8,GTX Basic,
Rangreen,13,GTX Basic,
Hottechi,16,MG Advanced,
Kinnamplus,21,MG Special,
Xx-holding,22,GTX Basic,
Betatech,0,GTX Basic,
Streethex,0,MG Special,
Kinnamplus,1,GTX Basic,
unknow,1,MG Special,
unknow,12,MG Advanced,
Silis,12,MG Advanced,
Plussunin,12,GTX Plus Basic,
Funholding,23,MG Advanced,4.0
Funholding,23,MG Special,
Kan-code,25,GTX Plus Basic,
Finhigh,26,GTX Plus Basic,0.0
Rundofase,26,GTXPro,
Scottech,26,GTX Plus Basic,
Isdom,26,GTXPro,
Gekko & Co,27,GTX Plus Pro,
unknow,28,MG Advanced,0.0
Sonron,28,GTX Plus Pro,
Cheers,3,MG Advanced,
Konex,3,MG Advanced,
Kan-code,4,GTXPro,0.0
Codehow,5,GTX Basic,
Toughzap,5,GTX Basic,
Warephase,5,GTX Basic,96.5
Konex,6,GTX Basic,
Nam-zim,6,GTX Basic,
Kan-code,7,MG Advanced,100.0
Warephase,8,GTX Plus Basic,
Hatfan,9,MG Advanced,1.0
Rangreen,10,MG Special,
Finjob,11,GTX Plus Basic,
Singletechno,11,GTX Plus Basic,
Sonron,11,GTXPro,100.0
Statholdings,14,GTX Plus Basic,
Betasoloin,15,GTXPro,
Groovestreet,16,GTXPro,
Plussunin,17,MG Special,
Streethex,18,MG Special,
Sonron,19,GTX Plus Pro,
Kan-code,19,GTXPro,2.0
Cheers,19,MG Advanced,0.0
Goodsilron,19,GTX Basic,
Lexiqvolax,19,GTXPro,
Bluth Company,20,MG Special,0.0
Gekko & Co,20,MG Special,
Lexiqvolax,22,GTX Plus Basic,1.0
Xx-holding,22,GTXPro,1.0
Singletechno,22,GTX Plus Basic,
Goodsilron,22,GTXPro,
Condax,0,MG Special,
Opentech,12,MG Advanced,
unknow,24,GTX Plus Basic,
Bubba Gump,25,GTX Basic,
Rundofase,26,GTXPro,
dambase,26,MG Special,
Treequote,26,GTX Plus Basic,
Statholdings,26,MG Advanced,99.0
Condax,28,MG Special,
Zoomit,28,GTX Basic,97.0
Xx-zobam,29,GTX Plus Pro,0.0
Hottechi,2,GTX Plus Pro,3.0
Inity,2,GTX Plus Pro,3.0
Condax,2,MG Advanced,97.0
Finjob,3,MG Advanced,
unknow,4,MG Advanced,
Plusstrip,4,GTX Plus Pro,
Globex Corporation,10,GTX Plus Pro,
unknow,11,GTX Plus Basic,0.0
Streethex,13,GTX Plus Pro,
Genco Pura Olive Oil Company,13,GTX Basic,
Stanredtax,14,GTX Basic,
Kan-code,17,GTX Basic,
Konex,19,MG Special,
Sonron,19,GTX Plus Pro,
Konex,19,MG Advanced,
unknow,20,GTX Basic,
Umbrella Corporation,20,GTX Basic,
Konex,21,GTX Plus Pro,
Scotfind,22,GTXPro,
Goodsilron,22,GTXPro,
unknow,0,GTX Basic,
Dontechi,0,MG Special,
Konmatfix,0,MG Special,
Dontechi,0,MG Special,8.0
Betatech,0,MG Special,
Zotware,12,MG Advanced,4.0
unknow,23,MG Special,
unknow,23,MG Special,
Donquadtech,24,GTX Plus Basic,
Yearin,25,GTX Plus Pro,
unknow,26,GTX Basic,
Isdom,26,GTX Plus Pro,
unknow,26,GTXPro,0.0
Betatech,26,GTXPro,
Globex Corporation,26,GTX Plus Basic,
Gogozoom,26,GTXPro,
unknow,28,GTXPro,0.0
Kan-code,29,GTX Plus Pro,100.0
Treequote,2,GTX Plus Pro,
Xx-zobam,3,MG Special,
Y-corporation,3,MG Advanced,
Sunnamplex,3,GTX Plus Basic,
Faxquote,3,MG Advanced,99.0
Plusstrip,4,MG Special,
Inity,5,GTXPro,
Kan-code,6,GTX Basic,
Green-Plus,7,GTX Basic,
Plexzap,7,MG Special,
Goodsilron,7,GTX Basic,
Konmatfix,8,GTX Plus Basic,8.0
unknow,8,MG Special,
Isdom,8,GTX Plus Pro,
Cancity,8,MG Advanced,
Genco Pura Olive Oil Company,8,GTX Basic,
Dontechi,8,GTX Plus Basic,
Codehow,8,MG Advanced,97.0
Rantouch,9,GTXPro,
Singletechno,9,GTX Basic,
Ontomedia,10,GTX Plus Pro,
unknow,10,MG Advanced,
Rangreen,10,GTX Basic,95.0
Cheers,11,MG Advanced,98.0
unknow,13,GTX Basic,
Bioholding,13,MG Advanced,
Hatfan,14,GTX Basic,
Massive Dynamic,17,MG Advanced,
unknow,18,GTX Basic,
Bioholding,18,MG Special,
Funholding,18,MG Special,
Funholding,18,MG Special,
Green-Plus,19,GTXPro,
Lexiqvolax,20,MG Advanced,
unknow,0,GTX Plus Basic,
Groovestreet,0,GTX Plus Pro,
Labdrill,0,GTX Plus Pro,5.0
Silis,0,MG Special,
unknow,0,MG Special,
Ron-tech,0,GTX Plus Basic,0.0
Ron-tech,0,GTX Plus Basic,
Stanredtax,0,GTX Plus Pro,
Kan-code,1,MG Advanced,
Yearin,1,GTX Plus Basic,96.0
Ontomedia,24,GTX Plus Pro,
Donquadtech,24,GTXPro,
unknow,25,GTX Plus Basic,
Konex,25,MG Advanced,
unknow,26,GTX Plus Basic,
unknow,26,GTX Plus Basic,
unknow,26,GTXPro,0.0
Funholding,26,GTXPro,
Gogozoom,26,GTXPro,0.0
Rangreen,26,GTXPro,
Stanredtax,26,GTXPro,0.0
Bioholding,26,MG Advanced,2.0
Treequote,26,GTXPro,100.0
Gekko & Co,27,GTX Plus Basic,0.0
Silis,27,GTXPro,
Zathunicon,27,GTXPro,2.0
Rangreen,2,MG Advanced,
Konmatfix,3,GTX Plus Basic,2.0
Kan-code,3,GTX Plus Pro,
Cheers,5,GTX Basic,
unknow,5,GTX Basic,
unknow,5,GTX Basic,0.0
unknow,5,GTX Basic,
Gekko & Co,5,GTX Plus Basic,
unknow,5,GTX Plus Basic,
unknow,5,GTXPro,
unknow,5,MG Special,
Kinnamplus,6,MG Advanced,3.0
Plexzap,7,GTXPro,
Sumace,10,GTXPro,
Singletechno,11,GTX Basic,
unknow,13,GTX Basic,
Genco Pura Olive Oil Company,13,GTX Plus Pro,
unknow,14,GTX Plus Basic,0.0
Blackzim,14,GTX Plus Pro,
Mathtouch,15,GTX Plus Basic,
Plussunin,15,GTX Plus Pro,
Mathtouch,17,GTXPro,100.0
Finjob,19,GTX Basic,1.0
Zencorporation,20,MG Special,96.0
Plussunin,21,GTX Plus Basic,
unknow,0,GTX Plus Basic,0.0
Hatfan,0,MG Advanced,7.000000000000001
Treequote,0,GTX Basic,
Gekko & Co,1,GTXPro,
Mathtouch,1,MG Advanced,
Donware,12,GTX Basic,98.0
unknow,23,GTX Plus Basic,
unknow,23,GTX Plus Basic,0.0
unknow,23,MG Special,
Konex,25,GTX Plus Pro,
unknow,26,GTXPro,
unknow,26,GTXPro,
Betasoloin,26,MG Special,
Bubba Gump,26,MG Advanced,
Scotfind,26,MG Advanced,
Toughzap,26,GTX Plus Basic,
Conecom,26,GTXPro,
Ganjaflex,27,GTX Basic,
Sumace,27,GTX Basic,
Plussunin,27,GTX Plus Pro,
unknow,2,GTX Basic,
Silis,2,MG Special,
unknow,2,MG Advanced,0.0
Streethex,2,GTX Basic,5.0
Stanredtax,2,MG Advanced,
Rantouch,4,GTXPro,0.0
Stanredtax,5,GTX Basic,
unknow,5,GTX Plus Basic,
unknow,5,GTX Plus Basic,
unknow,6,GTX Basic,
Sonron,7,GTX Plus Basic,
unknow,8,MG Special,
Funholding,8,GTX Plus Basic,
Stanredtax,8,MG Advanced,
