Patient ID,Specialty,Referral Source,Engagement History,Website Interactions,Lead Source,Conversion Probability,Lead Score
L24179,Orthopedics,Doctor Referral,Visited website 4 times,Visited 1 pages,Digital Ad,71.0,53.3
L68726,Neurology,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,42.0,50.18
L20222,Neurology,Doctor Referral,Visited website 1 times,Visited 2 pages,Digital Ad,50.0,50.79
L69965,Cardiology,Doctor Referral,Visited website 6 times,Visited 4 pages,Digital Ad,65.0,78.7
L74068,Pediatrics,Word of Mouth,Visited website 2 times,Visited 4 pages,Referral,43.0,16.33
L33949,Pediatrics,Doctor Referral,Visited website 5 times,Visited 2 pages,Organic Search,37.0,30.47
L26116,Pediatrics,Doctor Referral,Visited website 2 times,Visited 4 pages,Referral,44.0,27.04
L61052,Cardiology,Word of Mouth,Visited website 2 times,Visited 3 pages,Digital Ad,48.0,52.94
L61369,Cardiology,Doctor Referral,Visited website 7 times,Visited 1 pages,Referral,63.0,79.83
L58817,Pediatrics,Word of Mouth,Visited website 4 times,Visited 3 pages,Digital Ad,66.0,23.35
L93203,Cardiology,Digital Ad,Visited website 7 times,Visited 1 pages,Digital Ad,47.0,62.21
L84311,Pediatrics,Word of Mouth,Visited website 5 times,Visited 3 pages,Referral,35.0,15.72
L39655,Orthopedics,Digital Ad,Visited website 1 times,Visited 2 pages,Digital Ad,71.0,45.11
L67802,Orthopedics,Doctor Referral,Visited website 2 times,Visited 4 pages,Referral,74.0,61.34
L57632,Cardiology,Word of Mouth,Visited website 4 times,Visited 4 pages,Organic Search,58.0,72.4
L24193,Neurology,Word of Mouth,Visited website 6 times,Visited 4 pages,Digital Ad,67.0,59.14
L90212,Cardiology,Digital Ad,Visited website 6 times,Visited 2 pages,Digital Ad,43.0,60.37
L40776,Orthopedics,Digital Ad,Visited website 2 times,Visited 3 pages,Referral,56.0,46.39
L53225,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Digital Ad,58.0,34.0
L70010,Pediatrics,Word of Mouth,Visited website 9 times,Visited 3 pages,Organic Search,73.0,44.5
L92735,Pediatrics,Word of Mouth,Visited website 6 times,Visited 4 pages,Organic Search,41.0,26.68
L75451,Neurology,Word of Mouth,Visited website 5 times,Visited 4 pages,Organic Search,65.0,66.92
L58812,Pediatrics,Doctor Referral,Visited website 9 times,Visited 2 pages,Organic Search,37.0,36.61
L90602,Pediatrics,Doctor Referral,Visited website 3 times,Visited 3 pages,Organic Search,71.0,44.6
L28895,Orthopedics,Digital Ad,Visited website 6 times,Visited 3 pages,Organic Search,38.0,49.36
L75782,Pediatrics,Word of Mouth,Visited website 6 times,Visited 1 pages,Organic Search,75.0,37.74
L31209,Cardiology,Digital Ad,Visited website 3 times,Visited 3 pages,Referral,62.0,71.17
L92336,Orthopedics,Digital Ad,Visited website 2 times,Visited 1 pages,Digital Ad,58.0,39.12
L71807,Cardiology,Word of Mouth,Visited website 4 times,Visited 3 pages,Organic Search,52.0,68.1
L33086,Neurology,Digital Ad,Visited website 5 times,Visited 3 pages,Organic Search,61.0,68.66
L95637,Orthopedics,Digital Ad,Visited website 1 times,Visited 4 pages,Organic Search,52.0,49.67
L92027,Neurology,Word of Mouth,Visited website 1 times,Visited 3 pages,Organic Search,35.0,45.42
L37207,Cardiology,Doctor Referral,Visited website 8 times,Visited 2 pages,Organic Search,70.0,91.24
L30897,Neurology,Word of Mouth,Visited website 3 times,Visited 2 pages,Referral,60.0,53.35
L73083,Cardiology,Doctor Referral,Visited website 8 times,Visited 1 pages,Organic Search,55.0,82.8
L76957,Cardiology,Digital Ad,Visited website 4 times,Visited 1 pages,Digital Ad,70.0,68.2
L88506,Orthopedics,Doctor Referral,Visited website 2 times,Visited 2 pages,Referral,61.0,52.28
L17283,Orthopedics,Word of Mouth,Visited website 1 times,Visited 3 pages,Organic Search,69.0,50.84
L91481,Orthopedics,Digital Ad,Visited website 1 times,Visited 1 pages,Digital Ad,52.0,34.82
L10255,Cardiology,Doctor Referral,Visited website 9 times,Visited 4 pages,Organic Search,57.0,89.86
L86555,Pediatrics,Doctor Referral,Visited website 8 times,Visited 2 pages,Referral,42.0,32.26
L25487,Cardiology,Digital Ad,Visited website 1 times,Visited 2 pages,Digital Ad,48.0,54.99
L29346,Cardiology,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,49.0,72.86
L45050,Pediatrics,Word of Mouth,Visited website 5 times,Visited 3 pages,Referral,51.0,23.09
L18744,Pediatrics,Digital Ad,Visited website 4 times,Visited 4 pages,Referral,33.0,19.92
L34756,Neurology,Word of Mouth,Visited website 6 times,Visited 2 pages,Digital Ad,49.0,47.77
L71596,Cardiology,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,78.0,74.96
L93397,Orthopedics,Digital Ad,Visited website 4 times,Visited 1 pages,Organic Search,33.0,40.91
L35146,Pediatrics,Doctor Referral,Visited website 8 times,Visited 4 pages,Referral,36.0,32.57
L65032,Orthopedics,Word of Mouth,Visited website 8 times,Visited 2 pages,Organic Search,35.0,44.39
L52687,Neurology,Digital Ad,Visited website 1 times,Visited 1 pages,Digital Ad,55.0,46.44
L56103,Orthopedics,Word of Mouth,Visited website 1 times,Visited 2 pages,Organic Search,71.0,50.23
L31976,Cardiology,Word of Mouth,Visited website 4 times,Visited 4 pages,Organic Search,42.0,65.03
L72863,Cardiology,Digital Ad,Visited website 4 times,Visited 1 pages,Digital Ad,45.0,56.68
L10591,Orthopedics,Doctor Referral,Visited website 9 times,Visited 4 pages,Referral,35.0,54.12
L16277,Orthopedics,Digital Ad,Visited website 9 times,Visited 2 pages,Referral,67.0,60.68
L71860,Cardiology,Digital Ad,Visited website 8 times,Visited 2 pages,Digital Ad,62.0,72.2
L12260,Pediatrics,Doctor Referral,Visited website 3 times,Visited 1 pages,Digital Ad,74.0,32.67
L75883,Cardiology,Doctor Referral,Visited website 7 times,Visited 1 pages,Digital Ad,40.0,64.11
L34741,Pediatrics,Word of Mouth,Visited website 5 times,Visited 1 pages,Referral,43.0,16.33
L47211,Cardiology,Digital Ad,Visited website 8 times,Visited 3 pages,Digital Ad,51.0,68.66
L51542,Orthopedics,Digital Ad,Visited website 1 times,Visited 1 pages,Referral,49.0,38.56
L16869,Orthopedics,Digital Ad,Visited website 5 times,Visited 2 pages,Organic Search,76.0,63.8
L97616,Cardiology,Word of Mouth,Visited website 2 times,Visited 2 pages,Digital Ad,39.0,47.26
L74732,Pediatrics,Word of Mouth,Visited website 7 times,Visited 4 pages,Organic Search,40.0,27.75
L29422,Pediatrics,Doctor Referral,Visited website 9 times,Visited 3 pages,Organic Search,56.0,46.9
L45613,Pediatrics,Digital Ad,Visited website 2 times,Visited 3 pages,Referral,31.0,14.39
L67016,Orthopedics,Doctor Referral,Visited website 3 times,Visited 2 pages,Organic Search,47.0,52.48
L70110,Neurology,Digital Ad,Visited website 3 times,Visited 2 pages,Digital Ad,72.0,58.88
L98529,Orthopedics,Doctor Referral,Visited website 9 times,Visited 4 pages,Digital Ad,39.0,50.84
L87922,Pediatrics,Digital Ad,Visited website 2 times,Visited 1 pages,Digital Ad,45.0,12.65
L44033,Orthopedics,Digital Ad,Visited website 7 times,Visited 3 pages,Digital Ad,70.0,55.4
L55213,Cardiology,Word of Mouth,Visited website 6 times,Visited 2 pages,Digital Ad,54.0,60.32
L71993,Orthopedics,Doctor Referral,Visited website 4 times,Visited 2 pages,Organic Search,64.0,61.85
L22938,Cardiology,Doctor Referral,Visited website 6 times,Visited 2 pages,Digital Ad,30.0,59.5
L86695,Orthopedics,Doctor Referral,Visited website 2 times,Visited 3 pages,Digital Ad,46.0,41.78
L12274,Orthopedics,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,66.0,48.95
L94390,Orthopedics,Word of Mouth,Visited website 2 times,Visited 2 pages,Digital Ad,34.0,24.48
L41815,Pediatrics,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,68.0,31.44
L86018,Cardiology,Word of Mouth,Visited website 7 times,Visited 4 pages,Organic Search,37.0,67.33
L28961,Orthopedics,Digital Ad,Visited website 8 times,Visited 3 pages,Digital Ad,32.0,39.43
L30044,Pediatrics,Word of Mouth,Visited website 5 times,Visited 2 pages,Digital Ad,79.0,29.34
L31975,Orthopedics,Doctor Referral,Visited website 4 times,Visited 4 pages,Organic Search,77.0,70.92
L24706,Neurology,Digital Ad,Visited website 3 times,Visited 3 pages,Organic Search,64.0,66.97
L15974,Cardiology,Digital Ad,Visited website 1 times,Visited 3 pages,Referral,78.0,75.47
L86464,Pediatrics,Word of Mouth,Visited website 7 times,Visited 4 pages,Digital Ad,64.0,28.57
L31213,Cardiology,Digital Ad,Visited website 4 times,Visited 4 pages,Organic Search,38.0,68.31
L11950,Pediatrics,Word of Mouth,Visited website 4 times,Visited 4 pages,Referral,79.0,36.0
L95013,Pediatrics,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,75.0,49.51
L20411,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Organic Search,65.0,47.47
L97231,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Referral,44.0,40.35
L56156,Neurology,Word of Mouth,Visited website 6 times,Visited 1 pages,Digital Ad,65.0,53.61
L72744,Pediatrics,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,77.0,50.44
L27771,Cardiology,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,56.0,57.14
L79810,Pediatrics,Word of Mouth,Visited website 6 times,Visited 3 pages,Referral,34.0,16.79
L45053,Neurology,Doctor Referral,Visited website 4 times,Visited 1 pages,Organic Search,31.0,55.35
L62076,Cardiology,Word of Mouth,Visited website 8 times,Visited 1 pages,Digital Ad,77.0,72.45
L17045,Neurology,Word of Mouth,Visited website 6 times,Visited 4 pages,Referral,38.0,50.9
L67623,Orthopedics,Doctor Referral,Visited website 5 times,Visited 2 pages,Referral,48.0,50.9
L39714,Cardiology,Doctor Referral,Visited website 9 times,Visited 4 pages,Digital Ad,73.0,86.99
L44386,Pediatrics,Doctor Referral,Visited website 8 times,Visited 1 pages,Digital Ad,39.0,24.22
L18562,Cardiology,Word of Mouth,Visited website 2 times,Visited 3 pages,Referral,31.0,50.23
L65048,Orthopedics,Word of Mouth,Visited website 1 times,Visited 4 pages,Referral,44.0,35.74
L22026,Cardiology,Doctor Referral,Visited website 2 times,Visited 3 pages,Organic Search,70.0,83.56
L41589,Orthopedics,Word of Mouth,Visited website 8 times,Visited 3 pages,Organic Search,53.0,54.22
L36844,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Referral,67.0,50.95
L33447,Neurology,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,47.0,67.33
L87502,Orthopedics,Digital Ad,Visited website 9 times,Visited 4 pages,Referral,36.0,49.46
L93268,Pediatrics,Doctor Referral,Visited website 8 times,Visited 2 pages,Organic Search,50.0,41.07
L64708,Cardiology,Word of Mouth,Visited website 3 times,Visited 3 pages,Organic Search,39.0,60.57
L73925,Cardiology,Doctor Referral,Visited website 5 times,Visited 1 pages,Digital Ad,66.0,73.02
L80825,Pediatrics,Word of Mouth,Visited website 6 times,Visited 1 pages,Digital Ad,36.0,9.52
L61574,Cardiology,Word of Mouth,Visited website 7 times,Visited 1 pages,Digital Ad,72.0,68.61
L95548,Orthopedics,Doctor Referral,Visited website 5 times,Visited 1 pages,Digital Ad,45.0,42.86
L28812,Orthopedics,Word of Mouth,Visited website 5 times,Visited 1 pages,Referral,65.0,46.95
L65309,Cardiology,Word of Mouth,Visited website 2 times,Visited 3 pages,Digital Ad,70.0,63.08
L74230,Neurology,Doctor Referral,Visited website 2 times,Visited 4 pages,Digital Ad,69.0,64.16
L51628,Orthopedics,Word of Mouth,Visited website 2 times,Visited 2 pages,Digital Ad,62.0,37.38
L50581,Cardiology,Doctor Referral,Visited website 8 times,Visited 4 pages,Referral,79.0,93.34
L56628,Cardiology,Doctor Referral,Visited website 4 times,Visited 4 pages,Digital Ad,72.0,78.85
L98628,Cardiology,Doctor Referral,Visited website 2 times,Visited 1 pages,Digital Ad,38.0,55.5
L35105,Pediatrics,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,41.0,20.02
L89830,Cardiology,Word of Mouth,Visited website 2 times,Visited 3 pages,Organic Search,55.0,66.41
L79157,Cardiology,Doctor Referral,Visited website 5 times,Visited 3 pages,Referral,57.0,77.06
L42442,Cardiology,Digital Ad,Visited website 7 times,Visited 4 pages,Digital Ad,49.0,67.74
L97235,Cardiology,Digital Ad,Visited website 8 times,Visited 3 pages,Organic Search,69.0,87.2
L12347,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,34.0,31.64
L57650,Pediatrics,Digital Ad,Visited website 2 times,Visited 4 pages,Referral,55.0,26.98
L27110,Cardiology,Digital Ad,Visited website 1 times,Visited 1 pages,Digital Ad,34.0,47.0
L72170,Pediatrics,Digital Ad,Visited website 6 times,Visited 3 pages,Organic Search,64.0,40.86
L14923,Cardiology,Word of Mouth,Visited website 8 times,Visited 3 pages,Organic Search,70.0,82.54
L61801,Orthopedics,Doctor Referral,Visited website 7 times,Visited 4 pages,Organic Search,45.0,60.78
L72771,Cardiology,Digital Ad,Visited website 5 times,Visited 1 pages,Referral,64.0,72.09
L91147,Cardiology,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,43.0,58.83
L58135,Neurology,Digital Ad,Visited website 6 times,Visited 3 pages,Digital Ad,76.0,66.87
L29199,Neurology,Doctor Referral,Visited website 1 times,Visited 3 pages,Referral,31.0,48.69
L19066,Neurology,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,58.0,73.43
L62136,Pediatrics,Doctor Referral,Visited website 4 times,Visited 4 pages,Referral,69.0,41.63
L46575,Pediatrics,Doctor Referral,Visited website 8 times,Visited 2 pages,Organic Search,41.0,36.92
L99796,Neurology,Doctor Referral,Visited website 4 times,Visited 2 pages,Digital Ad,71.0,65.08
L56733,Pediatrics,Doctor Referral,Visited website 4 times,Visited 3 pages,Organic Search,57.0,39.68
L26991,Cardiology,Doctor Referral,Visited website 1 times,Visited 4 pages,Organic Search,38.0,68.82
L32553,Neurology,Word of Mouth,Visited website 5 times,Visited 3 pages,Digital Ad,53.0,49.62
L99710,Cardiology,Word of Mouth,Visited website 1 times,Visited 3 pages,Digital Ad,43.0,49.1
L97493,Cardiology,Digital Ad,Visited website 6 times,Visited 2 pages,Organic Search,40.0,69.23
L10634,Neurology,Word of Mouth,Visited website 3 times,Visited 1 pages,Digital Ad,77.0,54.53
L22771,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Organic Search,37.0,64.26
L28298,Neurology,Digital Ad,Visited website 5 times,Visited 3 pages,Digital Ad,72.0,63.49
L89876,Cardiology,Digital Ad,Visited website 3 times,Visited 2 pages,Referral,59.0,68.25
L45999,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Organic Search,37.0,71.43
L81887,Orthopedics,Word of Mouth,Visited website 5 times,Visited 3 pages,Digital Ad,51.0,38.45
L69648,Cardiology,Digital Ad,Visited website 5 times,Visited 1 pages,Referral,71.0,75.32
L72668,Neurology,Doctor Referral,Visited website 4 times,Visited 3 pages,Referral,62.0,67.59
L79374,Pediatrics,Word of Mouth,Visited website 9 times,Visited 2 pages,Digital Ad,37.0,16.13
L77509,Cardiology,Digital Ad,Visited website 9 times,Visited 4 pages,Digital Ad,39.0,66.21
L85783,Neurology,Digital Ad,Visited website 8 times,Visited 4 pages,Referral,58.0,68.31
L54440,Neurology,Word of Mouth,Visited website 3 times,Visited 1 pages,Referral,63.0,53.2
L41655,Neurology,Doctor Referral,Visited website 2 times,Visited 3 pages,Referral,67.0,66.82
L53039,Pediatrics,Doctor Referral,Visited website 6 times,Visited 3 pages,Referral,61.0,39.48
L65255,Pediatrics,Doctor Referral,Visited website 1 times,Visited 3 pages,Digital Ad,59.0,25.76
L82219,Orthopedics,Word of Mouth,Visited website 7 times,Visited 2 pages,Referral,62.0,50.18
L64989,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Organic Search,64.0,83.87
L21244,Pediatrics,Digital Ad,Visited website 5 times,Visited 2 pages,Referral,46.0,24.37
L68595,Orthopedics,Doctor Referral,Visited website 5 times,Visited 3 pages,Digital Ad,45.0,45.93
L49551,Neurology,Doctor Referral,Visited website 4 times,Visited 4 pages,Organic Search,71.0,78.39
L73230,Orthopedics,Word of Mouth,Visited website 9 times,Visited 1 pages,Referral,41.0,42.04
L38371,Orthopedics,Digital Ad,Visited website 9 times,Visited 3 pages,Organic Search,51.0,59.96
L79358,Orthopedics,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,35.0,51.56
L38878,Cardiology,Doctor Referral,Visited website 7 times,Visited 2 pages,Referral,71.0,85.05
L46157,Pediatrics,Doctor Referral,Visited website 6 times,Visited 2 pages,Referral,55.0,35.18
L15914,Pediatrics,Doctor Referral,Visited website 4 times,Visited 1 pages,Referral,34.0,20.89
L93700,Neurology,Doctor Referral,Visited website 3 times,Visited 2 pages,Digital Ad,44.0,51.1
L37180,Orthopedics,Word of Mouth,Visited website 9 times,Visited 3 pages,Digital Ad,75.0,55.66
L13688,Orthopedics,Word of Mouth,Visited website 1 times,Visited 4 pages,Digital Ad,56.0,36.15
L90219,Neurology,Digital Ad,Visited website 2 times,Visited 2 pages,Organic Search,52.0,58.37
L88616,Pediatrics,Doctor Referral,Visited website 9 times,Visited 2 pages,Referral,32.0,29.19
L19916,Cardiology,Word of Mouth,Visited website 7 times,Visited 4 pages,Organic Search,33.0,65.49
L66363,Neurology,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,73.0,73.68
L37360,Neurology,Word of Mouth,Visited website 4 times,Visited 4 pages,Digital Ad,72.0,58.37
L47805,Cardiology,Doctor Referral,Visited website 5 times,Visited 1 pages,Organic Search,77.0,88.33
L23453,Pediatrics,Doctor Referral,Visited website 2 times,Visited 4 pages,Organic Search,31.0,26.16
L32703,Neurology,Digital Ad,Visited website 3 times,Visited 3 pages,Organic Search,30.0,51.31
L69021,Orthopedics,Word of Mouth,Visited website 6 times,Visited 1 pages,Digital Ad,67.0,44.29
L84176,Cardiology,Digital Ad,Visited website 1 times,Visited 2 pages,Organic Search,68.0,74.45
L91614,Pediatrics,Word of Mouth,Visited website 9 times,Visited 3 pages,Digital Ad,49.0,23.2
L98919,Neurology,Doctor Referral,Visited website 8 times,Visited 1 pages,Referral,74.0,76.19
L91072,Cardiology,Digital Ad,Visited website 3 times,Visited 4 pages,Digital Ad,39.0,56.99
L17410,Orthopedics,Doctor Referral,Visited website 2 times,Visited 1 pages,Referral,78.0,58.58
L91462,Orthopedics,Digital Ad,Visited website 7 times,Visited 3 pages,Digital Ad,69.0,54.94
L58268,Pediatrics,Doctor Referral,Visited website 5 times,Visited 1 pages,Referral,30.0,20.58
L44248,Cardiology,Digital Ad,Visited website 5 times,Visited 4 pages,Organic Search,51.0,75.83
L41159,Cardiology,Word of Mouth,Visited website 5 times,Visited 3 pages,Referral,67.0,71.43
L52039,Cardiology,Digital Ad,Visited website 1 times,Visited 2 pages,Referral,41.0,56.89
L57800,Orthopedics,Doctor Referral,Visited website 1 times,Visited 1 pages,Digital Ad,42.0,35.33
L50761,Pediatrics,Digital Ad,Visited website 4 times,Visited 3 pages,Referral,51.0,26.68
L96103,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Referral,73.0,46.03
L53663,Orthopedics,Word of Mouth,Visited website 8 times,Visited 3 pages,Referral,34.0,40.35
L90903,Pediatrics,Word of Mouth,Visited website 4 times,Visited 2 pages,Digital Ad,61.0,19.51
L50412,Orthopedics,Word of Mouth,Visited website 2 times,Visited 2 pages,Organic Search,44.0,39.32
L45367,Pediatrics,Word of Mouth,Visited website 6 times,Visited 2 pages,Referral,71.0,32.31
L15813,Pediatrics,Word of Mouth,Visited website 7 times,Visited 2 pages,Organic Search,36.0,22.84
L69894,Neurology,Doctor Referral,Visited website 5 times,Visited 1 pages,Referral,60.0,65.13
L61444,Orthopedics,Digital Ad,Visited website 8 times,Visited 1 pages,Referral,52.0,50.69
L44269,Pediatrics,Digital Ad,Visited website 4 times,Visited 2 pages,Digital Ad,65.0,26.47
L71748,Cardiology,Digital Ad,Visited website 9 times,Visited 1 pages,Digital Ad,63.0,72.66
L51190,Pediatrics,Digital Ad,Visited website 8 times,Visited 3 pages,Organic Search,50.0,37.48
L50318,Cardiology,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,68.0,82.13
L47018,Pediatrics,Doctor Referral,Visited website 1 times,Visited 3 pages,Organic Search,34.0,24.48
L49759,Neurology,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,35.0,61.8
L26498,Neurology,Word of Mouth,Visited website 9 times,Visited 1 pages,Organic Search,41.0,57.4
L35989,Pediatrics,Digital Ad,Visited website 9 times,Visited 3 pages,Referral,73.0,44.5
L35568,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Digital Ad,39.0,54.94
L76577,Cardiology,Word of Mouth,Visited website 2 times,Visited 1 pages,Digital Ad,60.0,55.4
L40099,Neurology,Word of Mouth,Visited website 1 times,Visited 3 pages,Digital Ad,44.0,39.32
L99900,Neurology,Word of Mouth,Visited website 9 times,Visited 4 pages,Digital Ad,45.0,53.61
L50639,Cardiology,Word of Mouth,Visited website 1 times,Visited 4 pages,Organic Search,53.0,65.49
L33482,Cardiology,Digital Ad,Visited website 6 times,Visited 2 pages,Referral,51.0,69.18
L79212,Orthopedics,Word of Mouth,Visited website 3 times,Visited 2 pages,Digital Ad,71.0,43.06
L65261,Neurology,Digital Ad,Visited website 3 times,Visited 4 pages,Referral,60.0,61.55
L97317,Cardiology,Digital Ad,Visited website 4 times,Visited 4 pages,Digital Ad,68.0,71.89
L40048,Neurology,Doctor Referral,Visited website 6 times,Visited 2 pages,Referral,41.0,59.45
L13065,Pediatrics,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,38.0,32.46
L12036,Orthopedics,Doctor Referral,Visited website 3 times,Visited 1 pages,Referral,54.0,49.05
L45814,Neurology,Digital Ad,Visited website 6 times,Visited 1 pages,Digital Ad,58.0,55.5
L69694,Neurology,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,64.0,75.17
L26924,Orthopedics,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,37.0,53.51
L70204,Neurology,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,46.0,57.65
L42844,Orthopedics,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,74.0,64.41
L91943,Pediatrics,Word of Mouth,Visited website 8 times,Visited 2 pages,Referral,62.0,31.23
L31518,Orthopedics,Digital Ad,Visited website 8 times,Visited 2 pages,Organic Search,64.0,62.88
L27059,Pediatrics,Word of Mouth,Visited website 1 times,Visited 1 pages,Organic Search,45.0,16.23
L33052,Orthopedics,Doctor Referral,Visited website 6 times,Visited 4 pages,Referral,68.0,64.72
L79803,Neurology,Digital Ad,Visited website 7 times,Visited 4 pages,Organic Search,63.0,74.19
L81524,Neurology,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,31.0,41.01
L99572,Cardiology,Doctor Referral,Visited website 8 times,Visited 2 pages,Digital Ad,69.0,80.54
L18680,Neurology,Doctor Referral,Visited website 1 times,Visited 4 pages,Organic Search,54.0,65.95
L77021,Neurology,Word of Mouth,Visited website 7 times,Visited 1 pages,Referral,59.0,57.5
L90249,Orthopedics,Doctor Referral,Visited website 3 times,Visited 2 pages,Digital Ad,67.0,51.46
L30043,Orthopedics,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,48.0,57.55
L12419,Pediatrics,Doctor Referral,Visited website 3 times,Visited 2 pages,Referral,61.0,33.33
L66892,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Referral,38.0,59.6
L27140,Neurology,Word of Mouth,Visited website 4 times,Visited 3 pages,Digital Ad,54.0,48.54
L53484,Pediatrics,Doctor Referral,Visited website 3 times,Visited 2 pages,Organic Search,42.0,29.7
L73869,Neurology,Digital Ad,Visited website 3 times,Visited 2 pages,Referral,67.0,61.7
L55210,Cardiology,Word of Mouth,Visited website 7 times,Visited 2 pages,Organic Search,30.0,61.03
L67600,Cardiology,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,46.0,47.41
L88497,Pediatrics,Word of Mouth,Visited website 9 times,Visited 3 pages,Digital Ad,65.0,30.57
L16487,Orthopedics,Word of Mouth,Visited website 5 times,Visited 2 pages,Referral,74.0,52.64
L70692,Pediatrics,Doctor Referral,Visited website 5 times,Visited 4 pages,Referral,70.0,43.63
L72112,Neurology,Word of Mouth,Visited website 5 times,Visited 3 pages,Digital Ad,57.0,51.46
L41110,Orthopedics,Doctor Referral,Visited website 6 times,Visited 4 pages,Referral,73.0,67.03
L26360,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Referral,35.0,65.39
L59410,Pediatrics,Doctor Referral,Visited website 9 times,Visited 2 pages,Referral,33.0,29.65
L93038,Cardiology,Word of Mouth,Visited website 6 times,Visited 1 pages,Referral,66.0,69.43
L83167,Cardiology,Doctor Referral,Visited website 5 times,Visited 1 pages,Organic Search,42.0,72.2
L13017,Orthopedics,Doctor Referral,Visited website 4 times,Visited 2 pages,Organic Search,42.0,51.72
L96261,Cardiology,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,40.0,65.13
L70124,Neurology,Doctor Referral,Visited website 6 times,Visited 4 pages,Digital Ad,39.0,56.48
L60949,Orthopedics,Word of Mouth,Visited website 2 times,Visited 2 pages,Digital Ad,46.0,30.01
L68268,Pediatrics,Digital Ad,Visited website 1 times,Visited 1 pages,Referral,51.0,19.0
L76320,Cardiology,Doctor Referral,Visited website 5 times,Visited 3 pages,Referral,38.0,68.31
L91301,Orthopedics,Doctor Referral,Visited website 9 times,Visited 4 pages,Digital Ad,30.0,46.7
L41127,Orthopedics,Digital Ad,Visited website 8 times,Visited 2 pages,Digital Ad,53.0,47.57
L13196,Orthopedics,Digital Ad,Visited website 1 times,Visited 2 pages,Digital Ad,56.0,38.2
L85088,Pediatrics,Doctor Referral,Visited website 6 times,Visited 2 pages,Referral,48.0,31.95
L51300,Cardiology,Word of Mouth,Visited website 2 times,Visited 2 pages,Organic Search,33.0,54.74
L59714,Pediatrics,Digital Ad,Visited website 6 times,Visited 3 pages,Digital Ad,35.0,17.26
L41921,Cardiology,Doctor Referral,Visited website 9 times,Visited 3 pages,Digital Ad,72.0,85.0
L14746,Neurology,Digital Ad,Visited website 6 times,Visited 1 pages,Organic Search,59.0,66.21
L78535,Pediatrics,Digital Ad,Visited website 8 times,Visited 4 pages,Organic Search,33.0,31.18
L75350,Neurology,Word of Mouth,Visited website 4 times,Visited 2 pages,Digital Ad,61.0,50.23
L60345,Neurology,Digital Ad,Visited website 8 times,Visited 1 pages,Digital Ad,42.0,51.2
L59220,Neurology,Word of Mouth,Visited website 3 times,Visited 4 pages,Organic Search,59.0,61.09
L91131,Pediatrics,Word of Mouth,Visited website 3 times,Visited 4 pages,Organic Search,51.0,26.68
L32063,Pediatrics,Digital Ad,Visited website 7 times,Visited 4 pages,Organic Search,44.0,34.72
L81736,Neurology,Word of Mouth,Visited website 4 times,Visited 4 pages,Organic Search,70.0,67.69
L98913,Orthopedics,Doctor Referral,Visited website 3 times,Visited 1 pages,Digital Ad,70.0,51.31
L88946,Pediatrics,Doctor Referral,Visited website 7 times,Visited 2 pages,Digital Ad,56.0,32.05
L55971,Neurology,Doctor Referral,Visited website 2 times,Visited 3 pages,Digital Ad,50.0,53.87
L13598,Cardiology,Doctor Referral,Visited website 1 times,Visited 2 pages,Organic Search,54.0,73.12
